SITE_ID,START_DATE,END_DATE,water_mean,trees_mean,grass_mean,flooded_vegetation_mean,crops_mean,shrub_and_scrub_mean,built_mean,bare_mean,snow_and_ice_mean,label_mean,EXTENDED_END_DATE
US-Ton,2018-6-1,2018-8-31,0.03116591462,0.3945288743,0.03301513099,0.02293467293,0.04991235059,0.3281247968,0.03423172344,0.06809141762,0.03795599693,2.087357473,
US-UMd,2019-6-1,2019-8-31,0.03119462186,0.7227642342,0.03736087636,0.02841027022,0.03199920893,0.03909407005,0.03438837637,0.03797775082,0.03677521159,1.077284353,
US-Rpf,2018-6-1,2018-8-31,0.03120596998,0.6564641734,0.0730369958,0.02665240146,0.0380319655,0.07643494372,0.02921391322,0.03570019609,0.03322223276,1,
US-Me2,2017-6-1,2017-8-31,0.03122680047,0.7012237146,0.0308504707,0.02136588438,0.03293835752,0.07735986735,0.0375302382,0.04041637229,0.02705277854,1,
US-Srr,2016-6-1,2016-8-31,0.03124762147,0.1508941532,0.195412308,0.06393009334,0.1108818293,0.2318087107,0.0420313303,0.1290068812,0.04474479203,3.539835137,
US-SRG,2020-9-1,2020-11-30,0.03126098654,0.04430912996,0.07579768321,0.03309262214,0.1104036487,0.4726307865,0.04087032764,0.1578768164,0.03371775342,5,
US-LL1,2020-3-2,2020-5-31,0.03129431174,0.7013645378,0.04801156763,0.02755109256,0.03517988106,0.05988717226,0.03322046268,0.03225587354,0.03119905858,1,
US-KFS,2018-6-1,2018-8-31,0.03140077183,0.0467088546,0.5317566255,0.03504849183,0.1185975199,0.1209791318,0.03590400869,0.04101211156,0.03855321632,2.01416881,
US-KFS,2016-9-1,2016-11-30,0.03141063546,0.02492805344,0.4567597955,0.03873066209,0.07718405998,0.2185770924,0.03145559259,0.08716320295,0.03375209988,2,
US-Rpf,2017-6-1,2017-8-31,0.03141161922,0.6809681785,0.05868874857,0.02523964392,0.03840649004,0.07432830832,0.0264699526,0.03282084525,0.03163155511,1,
US-SRG,2018-3-2,2018-5-31,0.03143347381,0.04169761826,0.05502768409,0.02936336811,0.1925173056,0.3790165546,0.04055336176,0.1895762971,0.04077372179,4.988709006,
US-Ro4,2016-6-1,2016-8-31,0.03149972776,0.06079912957,0.4307616162,0.04227247956,0.2951203054,0.05247951401,0.03473114269,0.02276123778,0.02953514008,1.994992307,
US-Ton,2020-6-1,2020-8-31,0.0315099352,0.3838351337,0.03482591044,0.02196227993,0.04659845633,0.3538530048,0.03248458301,0.06076477276,0.03412721945,2.617973806,
US-Ro4,2019-6-1,2019-8-31,0.03151148008,0.1893285472,0.2622075045,0.04057320417,0.2055936126,0.1178820095,0.03878374848,0.06828033811,0.04579868424,2.457229449,
US-SRG,2016-9-1,2016-11-30,0.03156409244,0.2524357169,0.07454468727,0.03426609227,0.03873073104,0.3753193071,0.03435007156,0.1161515871,0.04259661707,4.958897511,
US-ICh,2019-6-1,2019-8-31,0.03157975772,0.06606562287,0.4309087012,0.04335800836,0.03417830274,0.2465152774,0.04050647446,0.07434730648,0.03250060628,2.462995714,
US-LL1,2018-3-2,2018-5-31,0.03160530394,0.7141324543,0.0385276062,0.02683563284,0.03042747636,0.05591777741,0.03489508499,0.03648934711,0.03113339017,1,
US-SRG,2015-12-1,2016-3-1,0.03166635277,0.0778433945,0.04174086609,0.03578270118,0.04445596359,0.5324604962,0.03171068855,0.1694373523,0.03486194281,5,
US-Ton,2018-9-1,2018-11-30,0.03168543796,0.387674005,0.03625694146,0.02445227584,0.04082998374,0.3235581441,0.03520217318,0.08271906854,0.03758271036,2.54018727,
US-LL3,2017-3-2,2017-5-31,0.03168621779,0.429375124,0.04023222074,0.02500031075,0.05102641265,0.2980661751,0.0399716284,0.05151935304,0.03308334287,2.127425593,
US-Ro4,2020-6-1,2020-8-31,0.03169374996,0.2144837058,0.3366992154,0.0398237835,0.1880683612,0.07641091512,0.03514111123,0.04155166906,0.03608776773,1.903641535,
US-WCr,2016-9-1,2016-11-30,0.031762457,0.7213287921,0.03620889885,0.02762512299,0.02914972574,0.04805308006,0.03624045515,0.03899047586,0.03060362051,1,
US-Me2,2016-3-2,2016-5-31,0.03178120491,0.7192867298,0.03032114573,0.02314659593,0.03146475371,0.06154427173,0.03630346178,0.03854679611,0.02757008655,1,
US-Ne2,2018-6-1,2018-8-31,0.03182277275,0.03995638856,0.15710804,0.03630172136,0.5337457677,0.04483356295,0.0422034547,0.06801029702,0.04597999116,3.872184846,
US-CMW,2016-9-1,2016-11-30,0.03188480702,0.6530905292,0.03410095024,0.02338268072,0.03622927362,0.125822595,0.03109201674,0.03905829761,0.02530275246,1,
US-Bi1,2017-3-2,2017-5-31,0.03191316699,0.03270787421,0.3185204681,0.04647013955,0.4273438199,0.03164538635,0.04115776863,0.02623807491,0.04396556598,3.5,
US-SRG,2018-6-1,2018-8-31,0.03204038716,0.114557913,0.1028963399,0.03075653598,0.1968286169,0.3152654848,0.03948993494,0.1220983879,0.04602490258,4.284883429,
US-SRG,2019-3-2,2019-5-31,0.03209028724,0.04759748269,0.05675360383,0.03172086588,0.0816007849,0.4191174991,0.03645316908,0.2597674796,0.03485903461,5.288430194,
US-BZo,2020-12-1,2021-3-1,0.03211485889,0.02478887466,0.02603690944,0.02723215954,0.02988357562,0.02612888833,0.04695713238,0.07301781137,0.7138038942,8,
US-Var,2019-6-1,2019-8-31,0.03213097438,0.04429368242,0.1079041018,0.03036458595,0.08532864226,0.5075379276,0.03630161159,0.1233437053,0.03275493852,5,
US-Los,2021-6-1,2021-8-31,0.03215597266,0.537989372,0.1842751966,0.03927779227,0.04409293994,0.06803681497,0.02846024674,0.03053314695,0.03514167415,1.219398726,
US-CMW,2019-9-1,2019-11-30,0.03218941229,0.6625495045,0.03501361934,0.02404441902,0.03945573379,0.1052589859,0.03342200533,0.03934166975,0.02868836889,1,
US-Ton,2019-6-1,2019-8-31,0.03222920635,0.4142557447,0.03283434584,0.02188529832,0.04722468947,0.3268838022,0.03382014995,0.05672979664,0.03409773305,1.94566586,
US-CdM,2021-9-1,2021-11-30,0.03223002405,0.0580415409,0.05724368552,0.02564461839,0.1306639639,0.3997177398,0.03878902069,0.2214755437,0.03615377497,5.140815053,
US-Bi1,2021-3-2,2021-5-31,0.03223553101,0.03926588621,0.2622318562,0.03571163053,0.4810101136,0.03626376551,0.03877469073,0.03032437031,0.04414403177,3.572430341,
US-Me2,2016-6-1,2016-8-31,0.03228393437,0.7202132871,0.0308751277,0.02353020622,0.03117603258,0.05915185191,0.03656618005,0.03857710102,0.02758997895,1,
US-Bi1,2020-6-1,2020-8-31,0.03231413847,0.07280964168,0.2439915946,0.03420300832,0.4027082492,0.05722998923,0.03995903979,0.06928942466,0.04745489724,3.411093911,
US-Me2,2018-6-1,2018-8-31,0.03233617884,0.6791175562,0.03860472623,0.02373283163,0.03293532782,0.08659282806,0.03810710781,0.04114587312,0.02739115215,1,
US-SRG,2020-6-1,2020-8-31,0.03233681916,0.03486980325,0.131027588,0.03330974825,0.159760898,0.3236936209,0.03513614703,0.2136012995,0.03622264702,5.236600214,
US-UMd,2017-6-1,2017-8-31,0.03235226208,0.7386568452,0.03273343166,0.03035682129,0.02929076333,0.03716721198,0.03016744224,0.03603775243,0.03320186402,1,
US-UMd,2021-6-1,2021-8-31,0.03237735469,0.7299921967,0.03563971687,0.03002718926,0.03039410588,0.03888556973,0.03035856352,0.03823241332,0.03405736635,1,
US-KFS,2019-6-1,2019-8-31,0.03238257816,0.08124238773,0.5421489803,0.03727203964,0.05132538054,0.1627517439,0.03288531525,0.02622459507,0.03372856096,1.998054025,
US-Me6,2017-6-1,2017-8-31,0.03241075982,0.3379559408,0.03176227284,0.0300563424,0.06627505904,0.3768750208,0.03600926455,0.06147978356,0.02713694967,3.821669857,
US-Snf,2020-6-1,2020-8-31,0.03243146819,0.03762818833,0.1053824793,0.03099441364,0.4888741283,0.09641746822,0.102587953,0.06404362835,0.04160048184,4.025840564,
US-Bi1,2022-3-2,2022-5-31,0.03246887517,0.05261262353,0.260848917,0.03315564462,0.4730915266,0.04022636407,0.0373928995,0.03024582583,0.03991896482,3.525588235,
US-ICh,2017-6-1,2017-8-31,0.03248371088,0.1840442814,0.2691800411,0.03343365816,0.03480272111,0.2597928878,0.03373067798,0.1227649751,0.02972610104,2.827183616,
US-Ro6,2021-9-1,2021-11-30,0.03249558987,0.06001326255,0.332223691,0.0381581531,0.3630757744,0.06997398447,0.03850295884,0.03179816895,0.03372015669,2.868080582,
US-Bi1,2018-9-1,2018-11-30,0.03254414924,0.08225134388,0.2971473745,0.03695885179,0.3633193056,0.05677804736,0.04236097929,0.04742360002,0.04117650124,3.127130269,
US-CMW,2018-3-2,2018-5-31,0.03256898217,0.262339017,0.05045820806,0.02665677315,0.0686456175,0.4118103344,0.02502942677,0.09649159563,0.0259605573,3.709519982,
US-ICs,2019-6-1,2019-8-31,0.03257914306,0.1100940991,0.2704630312,0.05525860791,0.03567264699,0.3424517344,0.03264794341,0.09076790869,0.03002434027,3.933039559,
