system:index,ZCTA5CE10,.geo
000000000000000000ba,97031,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bb,97032,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bc,97034,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd,97035,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000be,97038,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bf,97040,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0,97041,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c1,97042,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c2,97045,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c3,97049,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c4,97050,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c5,97051,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c6,97053,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c7,97054,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c8,97055,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c9,97056,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ca,97058,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cb,97060,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cc,97062,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cd,97064,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ce,97067,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cf,97068,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d0,97070,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d1,97071,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d2,97080,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d3,97089,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d4,97102,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d5,97103,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d6,97107,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d7,97111,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d8,97114,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9,97116,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000da,97118,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000db,97121,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dc,97123,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dd,97124,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000de,97125,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df,97132,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e0,97133,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e1,97136,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e2,97137,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e3,97138,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e4,97146,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e5,97147,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e6,97148,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e7,97201,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e8,97202,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e9,97203,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ea,97204,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000eb,97205,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ec,97209,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ed,97210,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ee,97211,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ef,97213,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f0,97214,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f1,97215,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f2,97217,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f3,97218,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f4,97220,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f5,97221,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,97222,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,97223,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,97225,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,97227,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,97232,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,97233,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,97236,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fd,97239,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe,97266,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff,97267,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100,97303,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000101,97362,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,97378,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000103,97381,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000104,97229,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000105,56295,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000106,56296,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000107,56303,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000108,56304,"{""type"":""MultiPoint"",""coordinates"":[]}"
